relative_path	size_bytes	sha256	role
ARTISYNTH_AUDIT_REPORT.md	14432	c41f506a12994f3871ef93fd94fcf88f663d832ab8cf02810fa0b55fdc07e0c4	Phase A source/provenance audit
ARTISYNTH_CANONICAL_SPECIFICATION.md	7679	ddaaea5e09e32ad19e1ab9d0c5a64c7c7fce74ca3c5a1d1291c06bb722cc2750	Canonical scientific and computational specification
ARTISYNTH_CODE_CHANGELOG.md	7801	997813bdf682e659ff0a107dab6ad10c6da59596579ec950680480ae0dd2f312	Non-destructive code-change record
ARTISYNTH_CONFLICT_REGISTER_CURRENT.tsv	10875	afb4361f3bcb25f5f8433ef2c521d245aa2a9d4462736a2d09e7ea814ab4cfef	Ranked machine-readable conflict table
ARTISYNTH_EXPECTED_OUTPUT_SCHEMA.md	5397	d94216fad48e817533adef4ffebab4e1e2ce7e284e5830a35d66f5b502069856	Long-table and artifact schema
ARTISYNTH_FULL_GRID_AND_RETURN_CHECKLIST.md	4101	79b6fa4e7d6bdcc957af237bf22fc3ff5b4aae8c4a065cec90706635b527dbb8	Full-grid and return-package completion checklist
ARTISYNTH_LOCAL_ENVIRONMENT_REFERENCE.txt	21902	f28b39f0f1cb95c449c9782265a5ed815ef9b0fbdd9e8251d2aac5bb8914f1cd	Unmodified local-environment report supplied by author
ARTISYNTH_LOCAL_RERUN_INSTRUCTIONS.md	17469	c669ce597038baa93129d328526e3f45af1a2b73b3a957e7be72395a024a8f6c	macOS compile, smoke, grid, validation, and return commands
ARTISYNTH_PATCH_TEST_REPORT.md	7907	b635c4ccd8fb275a7f50e43c830e7b68844e02a68d338ee9ec01ff90b07761a1	Static, fake-launcher, synthetic, and V2 repair test report
ARTISYNTH_PRIOR_SOURCE_PATHS.txt	2743	f3efbdf7ef6711ae6ab47b735a69d31309b742576d309f994ba37d8d5b9a53cf	Exact local prior paths for copy-only backup and hashing
ARTISYNTH_RUNTIME_REPAIR_V2.md	2988	584c43b2c870d76fc3b14c9e590c668112df3e1b7eb7c62a93e5b1b2983c7c23	Installed-runtime diagnostic and V2 correction record
ARTISYNTH_RUNTIME_REPAIR_V3.md	2581	33acf71db9a702a411c8726adbe9886ec3682a7972ff142018f9c0b6995c807a	Installed-runtime collision count-semantics correction record
ARTISYNTH_RUNTIME_REPAIR_V4.md	2566	68e4216de4e260fa2da9730394ac80135f511d302884cc654be9c077250ae257	Installed-runtime attach/working-directory correction record
ARTISYNTH_SMOKE_TEST_CHECKLIST.md	4259	061393337362c43f64969529205b09f5d19f98235ea118af8581dc209f07e30e	Local smoke-test acceptance checklist
MandibleScalingInverseDDK_CURRENT.java	39019	966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413	Corrected isolated ArtiSynth model source
README.md	1792	d0bb6330e7becc7886b72e05a7d152abb7a3acf18c7809b3280e0d4dddc030ad	Patch-package entry point and use guardrails
artisynth_common_CURRENT.py	18217	9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f	Canonical constants, schema, hashing, and feasibility helpers
compute_fmax_CURRENT.py	11881	6af46ee7b29e198ca9978ea2017316ca32d3f89df218619da81501198a0436db	Independent inclusive-feasibility and strict-prefix endpoint calculator
make_artisynth_figures_CURRENT.py	13065	53133962221ed25d3fb547e7972e859631159244877579466b91b8e598228d69	Validated figure and Table S3 source generator
play_and_quit_CURRENT.jy	174	f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b	Headless ArtiSynth play-and-quit script
run_artisynth_case_CURRENT.py	26039	59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7	Hash-gated single-cell launcher and provenance recorder
run_artisynth_grid_CURRENT.py	15880	0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd	Canonical 342-cell-per-mode grid driver
validate_artisynth_grid_CURRENT.py	17619	57c7fb118865fe04452bf88e75cfdf2a18d033e4a5bada114ada2328ae17de58	684-cell completeness, identity, artifact, and cross-mode validator
verify_artisynth_patch_manifest_CURRENT.py	2754	3d5c49462e9ce3177b8fd53f7516493706cd5201e2392b600c80adf89480b4ea	Patch-package integrity verifier
