run_id,spec_version,mode,scale,freq_hz,target_amp_p2p_mm,mass_exp,inertia_exp,mass_multiplier,inertia_multiplier,force_exp,effective_force_multiplier,n_force_scaled,duration_s,settle_s,play_time_s,open_gap_mm,gravity_state,gravity_enabled,gravity_x,gravity_y,gravity_z,target_position_formula_id,target_velocity_formula_id,target_marker_name,controller_architecture_id,target_weight,l2_regularization,excitation_damping,frame_damping,rotary_damping,max_step_s,collision_setting,collision_api_success,collision_behaviors_disabled,tmj_joint_setting,tmj_connectors_found,tmj_connectors_modified,rest_lengths_reset,n_rest_lengths_reset,n_exciters,hybrid_solves_disabled,input_probes_removed,output_probes_removed,geometry_scaled,model_units,return_status,return_code,failure_reason,n_samples,actual_source_amp_p2p_mm,actual_target_amp_p2p_mm,amplitude_gain,tracking_rmse_mm,peak_excitation,mean_summed_squared_excitation,rmse_ok,peak_excitation_ok,amplitude_gain_ok,is_feasible,failed_criteria,model_source_sha256,compiled_model_sha256,case_runner_sha256,grid_runner_sha256,common_module_sha256,play_script_sha256,artisynth_launcher_sha256,java_executable_sha256,python_executable_sha256,base_jawdemo_class_sha256,base_jawmodel_class_sha256,code_bundle_sha256,configuration_sha256,raw_java_csv_sha256,raw_stdout_sha256,raw_stderr_sha256,raw_run_log_sha256,command_sha256,environment_sha256,result_json_sha256,started_utc,finished_utc,elapsed_seconds
fixed_force__s0p80__f1p0__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,fixed_force,0.80000000000000004,1,1,3,5,0.51200000000000012,0.32768000000000008,0,1,0,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0043426922279224,1,1.0043426922279224,0.024326494289021058,0.43144279145516917,0.048869477235287,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,cc0fdf5554de6b97f901f5b6ab2562522b068c2572783460cc28380dc1343230,da95fade3581661b1fb0073970233ba07a825525a4e46c860d4961f2b916a5ef,271f079ca467ff8c9d5c70d2ec3b425580c5c0eb446b39e4bb4693c70af4c111,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,af3f1c7aa8d168ca32445878cf2ee81fdc62eb1a62713eb3d51401481dc2f719,aff390d4caa6d1b263d55fc858c57ca66dad6f24553d715857c8181f1d8dc26f,be1fdf02d798a8fb9784d6c1ec83225a8915f00e04e4e33563c72ec59c419c40,c81f6dffcc8077dce7502103725e736402e5a72cd418a2c3004b2e491b6aa98c,2026-07-20T08:08:43Z,2026-07-20T08:08:59Z,16.13206358300522
fixed_force__s0p80__f1p5__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,fixed_force,0.80000000000000004,1.5,1,3,5,0.51200000000000012,0.32768000000000008,0,1,0,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0019538589861838,1,1.0019538589861838,0.024389397647000245,0.42845997063564162,0.051840091768522535,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,4047d73d3e34f6cd96a10051e2d05f270346528cce754b032407696e2eb93215,6683bbeb365c2c3dea674f468b9699944fc8b88d9fd91c3cfc35787e98d70c85,b01c31e3023f755fa3a8cff68cfde46376cbfca62378d58130c9d07d899a4a31,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,802fea5b63aae4c55ad2649245648d015b3bbd4b60765004bc7668f69f537a1a,cca12bd79a52d6e9a76d117014a2048963c290d0ce21d685cb3dc7a41de2b5a2,c49d4163f1381079686059ca950d389019c33a83abf575bf4cb3b3142c452b61,86d1426c338550f90f9799e35dff7126bccf6cf5c96106688779f3a6da7e75d1,2026-07-20T08:08:59Z,2026-07-20T08:09:15Z,15.748284542001784
fixed_force__s0p80__f2p0__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,fixed_force,0.80000000000000004,2,1,3,5,0.51200000000000012,0.32768000000000008,0,1,0,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0024870287026388,1,1.0024870287026388,0.024271738153733704,0.42877771745585258,0.050123298065922403,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,f04d189981de816137683ca4bafe35eaaf26369085cde54528c7de8817b9e70e,a009967d9b5c714a802afc99abc05d050d4a7a9d3ca5a214af5246ece6e1e8c7,13e47da690c29c7e68b9d2be6d6d1176ba73aab1d3f982e27c1cdb5c960d6974,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,0849a7a722903e638316c2129f2dd5a7fe85251d23a6306085722374882b8870,d02701388b0b4549403b8712f41722bb7fdc3c1d8718066d680bdb7c3e271c8f,e7292634c649092e6ab68256f44f3087356aa68323ef7047a310e9e6015bf333,7873c0e98e11021adc2f1094162cf0f0b089fca4075190640ea33c778f0abab2,2026-07-20T08:09:15Z,2026-07-20T08:09:31Z,15.762038250046317
fixed_force__s0p80__f2p5__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,fixed_force,0.80000000000000004,2.5,1,3,5,0.51200000000000012,0.32768000000000008,0,1,0,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0041865036869595,1,1.0041865036869595,0.02427773161570803,0.52866245463376971,0.049519236982831574,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,e05984f9b532e5be96ac33b4251c57cd2c374278d78c78fdf2c51a38263a7f59,5f334546cc03ff45e7f3422d0bbb2654de24e259a3feee3a4ce68190c7b0a640,cc0620c3cbe1cbd05352f36af5afd82b976a3700f129d40dfa5f4beb88498c44,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,723f3918dac7e009872763900f65ffa934eee050b3ffe529753952ed0d52e61c,0e6e62af289806304c7782f699bdb2657900e5f8810aafe0ef3a2b23848c0fdf,7e91853dd4e267a5fcd8169119b5a805a79b773d09c463b5ef0d8a202d9bae31,3d546bb542c74f38bb251ddfc5a04d811e343d47f62bfd40da8018287bd85781,2026-07-20T08:09:31Z,2026-07-20T08:09:47Z,16.540925374953076
fixed_force__s0p80__f3p0__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,fixed_force,0.80000000000000004,3,1,3,5,0.51200000000000012,0.32768000000000008,0,1,0,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,0.99981529214854703,1,0.99981529214854703,0.024199829638096745,0.43061617000528241,0.047475359331643055,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,28bdb0271a3050d3f9e1b51fabd29a71f88ef87881eb3a88c0ce05e7513229aa,db3d15e488d72080f49b91d2e69d5d7fea389f637c61f3a34668f01eef5bf7f0,de7ecdda0e23519120a03b926d70ea5b217db121f6c5c01a24eee576f2ea74e6,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,181be4701d9c01ef18715aeed20694a890aead48e5b2d6082924abeba1946f72,419a8edde62268d1c7e237ed682eabee5e42056bed55b2d8dabdf79130b75c0f,ea1949218ad185c2dd0e8a53835c68d6686b09b5b49d493a7336befaafa1adbf,574e9cf72068c644277958a202fd14b112e47ae07378f50cc4be6a15ab1c0a9b,2026-07-20T08:09:47Z,2026-07-20T08:10:04Z,16.341475916968193
fixed_force__s0p80__f3p5__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,fixed_force,0.80000000000000004,3.5,1,3,5,0.51200000000000012,0.32768000000000008,0,1,0,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0031874247642776,1,1.0031874247642776,0.024621439519448934,0.4310240820226956,0.04231919891429025,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,e47592c3a68438d8e26cf9769ee77c3cc4693da78a11441f376951bcea67b9a2,3505687a000b33367b6477ca6a0cc6a689c3855fdda4bc8b2ef2da66e15683f8,d16f6d731d0b1c6ae404fe322a0a55284abf4411b60716d0bc9bbbc2baa98743,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3def64bf132acfeda179daf2406a33a60dcda8be5b800f8781e2565b290afe37,e9cda7ff89cd22ff073844e4e5a80cd65e5af69033b255b81132ded29e12764b,1f2d0516d43578707be6b37d86c312aca1637f5fb2cfd0a6153bb7e01a74ba88,c0dcb7e7ce78981b721117cc7b2590663ab6003fad4403036022fe75472b50ec,2026-07-20T08:10:04Z,2026-07-20T08:10:20Z,15.844133209029678
fixed_force__s0p80__f4p0__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,fixed_force,0.80000000000000004,4,1,3,5,0.51200000000000012,0.32768000000000008,0,1,0,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0020407696813507,1,1.0020407696813507,0.024216371684703687,0.5245917304050739,0.0450699769470096,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,4344615001944d33bb08316275a4789d0a1a636982c9e5906d9c4ef5bd36294f,99374307215b1fa543c243d6f9cf53258849082dc3d7bfe92044f6042524b91e,f9a80fbb418bb3ab86958876c0c713f493be3e434c50725a16820bccd3cab174,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,499ef5cfb49c632fc1e8f120f90f58ffcad2a6e19222ef7f735a9d256d13e0ef,d51582ea344276c02a23f8f18f4bffccfedc4a7194ca0c12f7d5107904743c31,7ad3d4cda9ca85b63d55a2231dc4b9da5d661a020116f7945e5ef8c5ef32f326,1077cb062d700aa535e2576c44f4e35ed7c63bbeceef7f2825e43465c5d1a66a,2026-07-20T08:10:20Z,2026-07-20T08:10:36Z,16.050808458996471
fixed_force__s0p80__f4p5__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,fixed_force,0.80000000000000004,4.5,1,3,5,0.51200000000000012,0.32768000000000008,0,1,0,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0076170110934584,1,1.0076170110934584,0.023921168628853781,0.53120446588838299,0.039409057628363234,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,4d90656494aa961c0d1354cb1c0e5053c1f2e2939991296d4fa1b3ce39d9f769,6b5fc979e1a746307ec57dc5df29869aed2f322828067f82dbfbb7fd3642d1f1,d8693506d418b4e050aab4a85b07fffa608c124a08ffa56e00f41b827aa326b9,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,61e17c079e8b3a26da53b4b6bb8bf00b464e7c48d49f7e71d9f0bc99e2c41e78,a215ac56ab63bb0452474aff0e4890bdd9905de56745b449dbbddf8b8fe74fa2,7a1f59085455226a0edf64fb29634aae68b067d9c445877f64c376e578344df5,75e778e6f83924ba645d2076ef86cce8f2f862ec1ac325460a106bf9a6fd0c7b,2026-07-20T08:10:36Z,2026-07-20T08:10:52Z,16.222750333952717
fixed_force__s0p80__f5p0__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,fixed_force,0.80000000000000004,5,1,3,5,0.51200000000000012,0.32768000000000008,0,1,0,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0001104781960777,1,1.0001104781960777,0.0236632394534665,0.32058898569069322,0.036609362760588272,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,5fcc73058b17f1eb2b41b7c57a1ee2df18faa9c329786e112080d46d33076edd,27709124f396fb0ba20ec5d8a65a51b0dc15491052cc85c0b85813103be3428a,968865641607c1047770277538f85c067d93650d1ce5908d5f97e0c6a2407ca8,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,e05ab4a74bec5e8ed7ac4b447787e17646073815d66c237ba4a4fb8cb8ce500b,2f91d2a0ec97645b3d42c37ff251ed908d56e0c879d1e1be8722b8b976075bee,0636571ae474407e84a0c22a259e05cb8122e33a1e5d03ac98c846244c7927a0,6fea3c31f8adefe2d162da1f0e0f82b1e4afffd7b903ac776851f53c5b9825cc,2026-07-20T08:10:52Z,2026-07-20T08:11:09Z,16.679587416991126
fixed_force__s0p80__f5p5__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,fixed_force,0.80000000000000004,5.5,1,3,5,0.51200000000000012,0.32768000000000008,0,1,0,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0025989780077822,1,1.0025989780077822,0.023824838470272971,0.35702619378560707,0.037415683043123295,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,92f225c8bb6504ff42798926410af69b84714f63bcf038840d12aa2d9e8cbf86,430fc4d7aea0d2d63b8f64e92e5a8716d708a05806fcc7d8e6edde572e5c7cec,55588535257730142dcc274ef64fbc4e27f98b8f076570e6ba22eacb31e0b31f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,12e708a6746fa5a578fe7ab9a2fd49b7cd0d96a6288d002bbdb2cf6c26e453e3,5bd95a2fb8452da84bc397851cfe014c9810cc8e9abbf8bb5d9b62ab6212392a,2a300ee50f94c154f1101c2411fce2379c181ad797fbe643dd765e0f8f3660b7,e21c62945ea559d3e70d59078409ab3cbec46e9a8ec469a3c4f6d18e898bda0c,2026-07-20T08:11:09Z,2026-07-20T08:11:26Z,16.30157358397264
