mode,scale,target_amp_p2p_mm,n_tested,n_feasible,strict_prefix_count,strict_prefix_endpoint_hz,endpoint_display,all_frequencies_feasible,first_failed_frequency_hz
fixed_force,0.8,1,19,19,19,10,>=10,True,
fixed_force,0.8,1.5,19,19,19,10,>=10,True,
fixed_force,0.85,1,19,19,19,10,>=10,True,
fixed_force,0.85,1.5,19,19,19,10,>=10,True,
fixed_force,0.9,1,19,19,19,10,>=10,True,
fixed_force,0.9,1.5,19,19,19,10,>=10,True,
fixed_force,0.95,1,19,19,19,10,>=10,True,
fixed_force,0.95,1.5,19,19,19,10,>=10,True,
fixed_force,1,1,19,19,19,10,>=10,True,
fixed_force,1,1.5,19,19,19,10,>=10,True,
fixed_force,1.05,1,19,19,19,10,>=10,True,
fixed_force,1.05,1.5,19,19,19,10,>=10,True,
fixed_force,1.1,1,19,19,19,10,>=10,True,
fixed_force,1.1,1.5,19,19,19,10,>=10,True,
fixed_force,1.15,1,19,19,19,10,>=10,True,
fixed_force,1.15,1.5,19,19,19,10,>=10,True,
fixed_force,1.2,1,19,19,19,10,>=10,True,
fixed_force,1.2,1.5,19,19,19,10,>=10,True,
force_capacity_s2,0.8,1,19,19,19,10,>=10,True,
force_capacity_s2,0.8,1.5,19,19,19,10,>=10,True,
force_capacity_s2,0.85,1,19,19,19,10,>=10,True,
force_capacity_s2,0.85,1.5,19,19,19,10,>=10,True,
force_capacity_s2,0.9,1,19,19,19,10,>=10,True,
force_capacity_s2,0.9,1.5,19,19,19,10,>=10,True,
force_capacity_s2,0.95,1,19,19,19,10,>=10,True,
force_capacity_s2,0.95,1.5,19,19,19,10,>=10,True,
force_capacity_s2,1,1,19,19,19,10,>=10,True,
force_capacity_s2,1,1.5,19,19,19,10,>=10,True,
force_capacity_s2,1.05,1,19,19,19,10,>=10,True,
force_capacity_s2,1.05,1.5,19,19,19,10,>=10,True,
force_capacity_s2,1.1,1,19,19,19,10,>=10,True,
force_capacity_s2,1.1,1.5,19,19,19,10,>=10,True,
force_capacity_s2,1.15,1,19,19,19,10,>=10,True,
force_capacity_s2,1.15,1.5,19,19,19,10,>=10,True,
force_capacity_s2,1.2,1,19,19,19,10,>=10,True,
force_capacity_s2,1.2,1.5,19,19,19,10,>=10,True,
