participant_id,rate,n_trials,max_speechrate,q90_speechrate,q95_speechrate,max_articulationrate,q90_articulationrate,q95_articulationrate,co_me_mean_mm,height_cm,co_me_mean_mm_10,height_cm_c
sub-055,fast,120,5.353647248,4.428430045300001,4.8036635847,6.538221166,5.7411882401,5.914205957949999,96.785,160.0,9.678500000000001,-9.545611227379055
sub-055,normal,179,4.022896759,3.5223747642000016,3.6696104583999998,5.255176975,4.4246456432,4.6795890276,96.785,160.0,9.6785,-9.545611227379055
sub-105,fast,120,6.022853154,5.605397384700001,5.688250201,7.147655177,6.5926621483000005,6.7614382757,112.035,173.0,11.2035,3.454388772620945
sub-105,normal,179,4.349838389,3.7179036846,4.0019692422999995,5.407974002,4.8091701412,4.946524814,112.035,173.0,11.2035,3.454388772620945
sub-125,fast,119,5.603150978,4.4060058365999994,4.586344964,6.675258512,5.4999936584,5.635234952899999,101.0,171.0,10.1,1.4543887726209448
sub-125,normal,180,4.018296461,3.214637169,3.5074402270499982,4.872562062,4.1206131265999995,4.3844316147499995,101.0,171.0,10.1,1.4543887726209448
sub-159,fast,120,4.001875406,3.354421495600001,3.602025629,5.243812856,4.358611965,4.6978369135,118.04,162.0,11.804,-7.545611227379055
sub-159,normal,180,3.602025629,2.5886288315999995,2.8021370907,4.723672873,3.5809328033999996,3.8067557929999984,118.04,162.0,11.804000000000002,-7.545611227379054
sub-182,fast,120,6.504572375,4.821955753,5.019523127699999,6.939979407,6.339055908700001,6.57627521975,117.925,175.0,11.7925,5.454388772620945
sub-182,normal,179,3.616466815,2.8038218958000005,3.20308422,5.119589769,3.922542435800002,4.349209182799999,117.925,175.0,11.7925,5.454388772620945
sub-189,fast,120,5.202925908,4.684441342,4.85909468,6.65541372,5.9237721268,6.0859557209499995,118.655,181.0,11.8655,11.454388772620945
sub-189,normal,180,5.223785399,4.013051843,4.335365024,6.395537143,5.105817432299999,5.31412065005,118.655,181.0,11.865499999999999,11.454388772620945
sub-191,fast,120,5.223785399,4.335365024,4.4033582859,6.096679102,5.020515056100001,5.205136679,102.365,160.0,10.2365,-9.545611227379055
sub-191,normal,180,5.202925908,3.20308422,3.726405283,6.105301272,3.8683522930999996,4.496200115399997,102.36500000000001,160.0,10.2365,-9.545611227379055
sub-246,fast,120,6.027444691,5.603150978,5.688250201,7.156335919,6.7081880723000005,6.8368778028,102.0,175.0,10.2,5.454388772620945
sub-246,normal,179,5.223785399,3.7814457032000046,4.352145070599999,7.011106483,4.9524821886,5.4256766502,102.0,175.0,10.2,5.454388772620945
sub-306,normal,175,6.69205906,4.5167215084,4.684441342,8.044054422,5.611899729,5.974571967399998,103.885,166.0,10.3885,-3.545611227379055
sub-401,fast,59,4.821955753,4.420126107,4.684441342,6.443298969,5.9933058284000005,6.0871402033,133.39,181.0,13.339,11.454388772620945
sub-401,normal,178,4.013051843,3.214637169,3.4408261153000006,6.034482759,4.600258974000001,4.873210726600001,133.39,181.0,13.338999999999999,11.454388772620945
sub-471,fast,120,6.669792344,5.4323060547,5.669323492,7.851459642,6.2035455036,6.6189100347,132.27,187.0,13.227,17.45438877262094
sub-471,normal,180,5.223785399,3.7539898245999983,4.018296461,7.048712715,4.6804344925,5.033908302899999,132.27,187.0,13.227,17.454388772620945
sub-586,fast,120,6.574069273,6.019577765,6.043945261799999,7.447720297,6.696345083700001,7.097913653,110.315,177.0,11.0315,7.454388772620945
sub-586,normal,180,4.802700839,3.6086616449999993,4.0022788525,5.444713319,4.195223217,4.4142951563,110.315,177.0,11.0315,7.454388772620946
sub-612,fast,120,6.00281311,5.3198360258,5.45412796165,6.978645591,6.448442715900001,6.60211493195,101.135,167.0,10.1135,-2.545611227379055
sub-612,normal,180,4.015235436,3.429949186,3.602025629,5.037029592,4.0940444764,4.39174984,101.13499999999999,167.0,10.1135,-2.545611227379055
sub-613,fast,120,4.684441342,4.018296461,4.3533527749,6.437862221,5.675865159100001,5.82387610305,110.43,182.0,11.043000000000001,12.454388772620945
sub-613,normal,180,3.715778285,2.812807523,3.0235199448999976,5.19791769,3.9003831876,4.211212151899997,110.43,182.0,11.043000000000001,12.454388772620945
sub-647,fast,120,5.202925908,4.002813769,4.038520172249999,6.349908633,5.218688405100002,5.5815225459499995,106.99500000000002,160.0,10.6995,-9.545611227379055
sub-647,normal,180,2.812807523,2.006525922,2.3377734749499988,5.532297723,2.864549303,3.206262675799999,106.99500000000002,160.0,10.6995,-9.545611227379055
sub-652,fast,120,5.353647248,4.802700839,4.872991524,6.28800289,5.7441109893,5.85270413575,92.74,160.0,9.274,-9.545611227379055
sub-652,normal,178,4.821955753,3.602025629,3.7288752154000018,5.939687257,4.6207361378,5.0281749056,92.73999999999998,160.0,9.274,-9.545611227379055
