output_file,record_type,analysis_family,model_id,outcome,outcome_unit,formula,term,term_coding,beta,robust_se,ci_lower,ci_upper,test_statistic,test_statistic_type,p_value,transformed_effect,transformed_ci_lower,transformed_ci_upper,transformed_unit,n_observations,n_speakers,family,link,working_correlation,covariance_estimator,cluster,rate_reference,sequence_reference,subset,selection_rule,software_versions,input_files,input_sha256,script_file,script_sha256,status,eligible_speakers
strict_acoustic_sensitivity.csv,coefficient,strict_acoustic_50trial_sensitivity,audio_modulation_minimum_50_valid_trials_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c",Intercept,Intercept at reference categories and centered height = 0,7.6903268606667377,0.75722969984518351,6.2061839209461027,9.1744698003873726,10.155870619230907,Wald z,3.1201279696676679e-24,,,,not transformed,5529,20,Gaussian,identity,independence,robust sandwich,participant_id,fast,bibibi,20 speakers with >=50 nonmissing audio_mod_dom_hz values,participant retained when count(nonmissing audio_mod_dom_hz) >= 50; model complete cases thereafter,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/secondary/analysis_ready_trials.csv,data/derived/secondary/analysis_ready_trials.csv=10c3eedaf2f91990cc128639cf0475eb1c1583c821171d99a1a26d7dddb7b6e0,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,reproduced,sub-055;sub-125;sub-159;sub-191;sub-246;sub-401;sub-471;sub-586;sub-612;sub-647;sub-652;sub-705;sub-726;sub-779;sub-787;sub-860;sub-875;sub-891;sub-987;sub-989
strict_acoustic_sensitivity.csv,coefficient,strict_acoustic_50trial_sensitivity,audio_modulation_minimum_50_valid_trials_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c","C(rate, Treatment(reference='fast'))[T.normal]",Normal minus maximally fast; fast is the reference,-2.2981931480006637,0.10315679187343971,-2.5003767448332996,-2.0960095511680277,-22.278641146772525,Wald z,5.9536833115390817e-110,,,,not transformed,5529,20,Gaussian,identity,independence,robust sandwich,participant_id,fast,bibibi,20 speakers with >=50 nonmissing audio_mod_dom_hz values,participant retained when count(nonmissing audio_mod_dom_hz) >= 50; model complete cases thereafter,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/secondary/analysis_ready_trials.csv,data/derived/secondary/analysis_ready_trials.csv=10c3eedaf2f91990cc128639cf0475eb1c1583c821171d99a1a26d7dddb7b6e0,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,reproduced,sub-055;sub-125;sub-159;sub-191;sub-246;sub-401;sub-471;sub-586;sub-612;sub-647;sub-652;sub-705;sub-726;sub-779;sub-787;sub-860;sub-875;sub-891;sub-987;sub-989
strict_acoustic_sensitivity.csv,coefficient,strict_acoustic_50trial_sensitivity,audio_modulation_minimum_50_valid_trials_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c","C(sequence, Treatment(reference='bibibi'))[T.dadada]",dadada minus the model-specific sequence reference,-0.070030673598243831,0.09568398287762897,-0.25756783393574378,0.11750648673925615,-0.73189546977582065,Wald z,0.46423237147223928,,,,not transformed,5529,20,Gaussian,identity,independence,robust sandwich,participant_id,fast,bibibi,20 speakers with >=50 nonmissing audio_mod_dom_hz values,participant retained when count(nonmissing audio_mod_dom_hz) >= 50; model complete cases thereafter,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/secondary/analysis_ready_trials.csv,data/derived/secondary/analysis_ready_trials.csv=10c3eedaf2f91990cc128639cf0475eb1c1583c821171d99a1a26d7dddb7b6e0,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,reproduced,sub-055;sub-125;sub-159;sub-191;sub-246;sub-401;sub-471;sub-586;sub-612;sub-647;sub-652;sub-705;sub-726;sub-779;sub-787;sub-860;sub-875;sub-891;sub-987;sub-989
strict_acoustic_sensitivity.csv,coefficient,strict_acoustic_50trial_sensitivity,audio_modulation_minimum_50_valid_trials_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c","C(sequence, Treatment(reference='bibibi'))[T.gugugu]",gugugu minus the model-specific sequence reference,0.064207411237058268,0.11877423741055278,-0.16858581637883513,0.29700063885295164,0.54058365380297202,Wald z,0.58879458720177758,,,,not transformed,5529,20,Gaussian,identity,independence,robust sandwich,participant_id,fast,bibibi,20 speakers with >=50 nonmissing audio_mod_dom_hz values,participant retained when count(nonmissing audio_mod_dom_hz) >= 50; model complete cases thereafter,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/secondary/analysis_ready_trials.csv,data/derived/secondary/analysis_ready_trials.csv=10c3eedaf2f91990cc128639cf0475eb1c1583c821171d99a1a26d7dddb7b6e0,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,reproduced,sub-055;sub-125;sub-159;sub-191;sub-246;sub-401;sub-471;sub-586;sub-612;sub-647;sub-652;sub-705;sub-726;sub-779;sub-787;sub-860;sub-875;sub-891;sub-987;sub-989
strict_acoustic_sensitivity.csv,coefficient,strict_acoustic_50trial_sensitivity,audio_modulation_minimum_50_valid_trials_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c","C(sequence, Treatment(reference='bibibi'))[T.kukuku]",kukuku minus the model-specific sequence reference,-0.2675354629056847,0.085269057478647145,-0.43465974455950884,-0.10041118125186055,-3.1375445069588137,Wald z,0.0017036940626318504,,,,not transformed,5529,20,Gaussian,identity,independence,robust sandwich,participant_id,fast,bibibi,20 speakers with >=50 nonmissing audio_mod_dom_hz values,participant retained when count(nonmissing audio_mod_dom_hz) >= 50; model complete cases thereafter,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/secondary/analysis_ready_trials.csv,data/derived/secondary/analysis_ready_trials.csv=10c3eedaf2f91990cc128639cf0475eb1c1583c821171d99a1a26d7dddb7b6e0,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,reproduced,sub-055;sub-125;sub-159;sub-191;sub-246;sub-401;sub-471;sub-586;sub-612;sub-647;sub-652;sub-705;sub-726;sub-779;sub-787;sub-860;sub-875;sub-891;sub-987;sub-989
strict_acoustic_sensitivity.csv,coefficient,strict_acoustic_50trial_sensitivity,audio_modulation_minimum_50_valid_trials_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c","C(sequence, Treatment(reference='bibibi'))[T.kutapi]",kutapi minus the model-specific sequence reference,0.073161289396678264,0.078769391301823102,-0.081223880639037627,0.22754645943239415,0.92880353888154221,Wald z,0.35299091013844008,,,,not transformed,5529,20,Gaussian,identity,independence,robust sandwich,participant_id,fast,bibibi,20 speakers with >=50 nonmissing audio_mod_dom_hz values,participant retained when count(nonmissing audio_mod_dom_hz) >= 50; model complete cases thereafter,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/secondary/analysis_ready_trials.csv,data/derived/secondary/analysis_ready_trials.csv=10c3eedaf2f91990cc128639cf0475eb1c1583c821171d99a1a26d7dddb7b6e0,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,reproduced,sub-055;sub-125;sub-159;sub-191;sub-246;sub-401;sub-471;sub-586;sub-612;sub-647;sub-652;sub-705;sub-726;sub-779;sub-787;sub-860;sub-875;sub-891;sub-987;sub-989
strict_acoustic_sensitivity.csv,coefficient,strict_acoustic_50trial_sensitivity,audio_modulation_minimum_50_valid_trials_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c","C(sequence, Treatment(reference='bibibi'))[T.pipipi]",pipipi minus the model-specific sequence reference,-0.24899562472204201,0.074994965648300368,-0.39598305641452924,-0.10200819302955474,-3.3201645279730196,Wald z,0.00089964411301605583,,,,not transformed,5529,20,Gaussian,identity,independence,robust sandwich,participant_id,fast,bibibi,20 speakers with >=50 nonmissing audio_mod_dom_hz values,participant retained when count(nonmissing audio_mod_dom_hz) >= 50; model complete cases thereafter,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/secondary/analysis_ready_trials.csv,data/derived/secondary/analysis_ready_trials.csv=10c3eedaf2f91990cc128639cf0475eb1c1583c821171d99a1a26d7dddb7b6e0,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,reproduced,sub-055;sub-125;sub-159;sub-191;sub-246;sub-401;sub-471;sub-586;sub-612;sub-647;sub-652;sub-705;sub-726;sub-779;sub-787;sub-860;sub-875;sub-891;sub-987;sub-989
strict_acoustic_sensitivity.csv,coefficient,strict_acoustic_50trial_sensitivity,audio_modulation_minimum_50_valid_trials_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c","C(sequence, Treatment(reference='bibibi'))[T.pitaku]",pitaku minus the model-specific sequence reference,-0.0085356212107974578,0.10210568383700495,-0.20865908414816067,0.19158784172656576,-0.083595945789102039,Wald z,0.9333776904464598,,,,not transformed,5529,20,Gaussian,identity,independence,robust sandwich,participant_id,fast,bibibi,20 speakers with >=50 nonmissing audio_mod_dom_hz values,participant retained when count(nonmissing audio_mod_dom_hz) >= 50; model complete cases thereafter,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/secondary/analysis_ready_trials.csv,data/derived/secondary/analysis_ready_trials.csv=10c3eedaf2f91990cc128639cf0475eb1c1583c821171d99a1a26d7dddb7b6e0,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,reproduced,sub-055;sub-125;sub-159;sub-191;sub-246;sub-401;sub-471;sub-586;sub-612;sub-647;sub-652;sub-705;sub-726;sub-779;sub-787;sub-860;sub-875;sub-891;sub-987;sub-989
strict_acoustic_sensitivity.csv,coefficient,strict_acoustic_50trial_sensitivity,audio_modulation_minimum_50_valid_trials_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c","C(sequence, Treatment(reference='bibibi'))[T.takupi]",takupi minus the model-specific sequence reference,0.14174491527087377,0.069856150579012566,0.0048293760374022998,0.27866045450434523,2.0290971388489205,Wald z,0.042448397278605048,,,,not transformed,5529,20,Gaussian,identity,independence,robust sandwich,participant_id,fast,bibibi,20 speakers with >=50 nonmissing audio_mod_dom_hz values,participant retained when count(nonmissing audio_mod_dom_hz) >= 50; model complete cases thereafter,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/secondary/analysis_ready_trials.csv,data/derived/secondary/analysis_ready_trials.csv=10c3eedaf2f91990cc128639cf0475eb1c1583c821171d99a1a26d7dddb7b6e0,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,reproduced,sub-055;sub-125;sub-159;sub-191;sub-246;sub-401;sub-471;sub-586;sub-612;sub-647;sub-652;sub-705;sub-726;sub-779;sub-787;sub-860;sub-875;sub-891;sub-987;sub-989
strict_acoustic_sensitivity.csv,coefficient,strict_acoustic_50trial_sensitivity,audio_modulation_minimum_50_valid_trials_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c","C(sequence, Treatment(reference='bibibi'))[T.tatata]",tatata minus the model-specific sequence reference,-0.087062915445251216,0.10454231895243907,-0.29196209545233087,0.11783626456182847,-0.83280069083659791,Wald z,0.40495714506385139,,,,not transformed,5529,20,Gaussian,identity,independence,robust sandwich,participant_id,fast,bibibi,20 speakers with >=50 nonmissing audio_mod_dom_hz values,participant retained when count(nonmissing audio_mod_dom_hz) >= 50; model complete cases thereafter,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/secondary/analysis_ready_trials.csv,data/derived/secondary/analysis_ready_trials.csv=10c3eedaf2f91990cc128639cf0475eb1c1583c821171d99a1a26d7dddb7b6e0,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,reproduced,sub-055;sub-125;sub-159;sub-191;sub-246;sub-401;sub-471;sub-586;sub-612;sub-647;sub-652;sub-705;sub-726;sub-779;sub-787;sub-860;sub-875;sub-891;sub-987;sub-989
