tier,domain,outcome_id,outcome_label,data_subset,specification,model_id,beta,robust_se,effect,ci_lower,ci_upper,p_value,effect_unit,n_speakers,n_observations,used_in_figure_1c,used_in_figure_2,used_in_table_1,authority
Primary,DDK timing,log_articulationrate,Articulation rate,all_eligible_trials,Height conditioned,full_height_adjusted_log_articulationrate,-0.047612290568298403,0.0192195791780903,-4.649660231744301,-8.174667526142354,-0.98933432655770037,0.013238777626769,% change per +10 mm Co--Me,28,8123,True,False,True,PRIMARY_ESTIMAND_COMPARISON_CURRENT.csv; primary data hash verified
Primary,DDK timing,log_articulationrate,Articulation rate,all_eligible_trials,No height,full_no_height_log_articulationrate,-0.015862963852637,0.014055425726056401,-1.5737809687420667,-4.248231877173092,1.175370259086006,0.25906629908139239,% change per +10 mm Co--Me,28,8123,True,False,False,PRIMARY_ESTIMAND_COMPARISON_CURRENT.csv; primary data hash verified
Primary,DDK timing,log_articulationrate,Articulation rate,six_sequences_shared_by_rate_conditions,Height conditioned,shared_six_height_adjusted_log_articulationrate,-0.0482573920706088,0.0197840022915035,-4.7111510431347314,-8.3353451234753688,-0.94366527910566544,0.014719296709214499,% change per +10 mm Co--Me,28,6456,False,False,False,PRIMARY_ESTIMAND_COMPARISON_CURRENT.csv; primary data hash verified
Primary,DDK timing,log_articulationrate,Articulation rate,six_sequences_shared_by_rate_conditions,No height,shared_six_no_height_log_articulationrate,-0.017261822949931602,0.013966142913709401,-1.7113691249881158,-4.3653477203998925,1.0162606231910898,0.216467338574548,% change per +10 mm Co--Me,28,6456,False,False,False,PRIMARY_ESTIMAND_COMPARISON_CURRENT.csv; primary data hash verified
Primary,DDK timing,log_speechrate,Speech rate,all_eligible_trials,Height conditioned,full_height_adjusted_log_speechrate,-0.066752447970185605,0.027338059590585401,-6.4573260535175532,-11.337579859612744,-1.3084479850325459,0.014616647984654001,% change per +10 mm Co--Me,28,8123,True,False,True,PRIMARY_ESTIMAND_COMPARISON_CURRENT.csv; primary data hash verified
Primary,DDK timing,log_speechrate,Speech rate,all_eligible_trials,No height,full_no_height_log_speechrate,-0.034844980857967597,0.0210828333473734,-3.4244884816463705,-7.3338164910063393,0.649763180615337,0.098378585867347698,% change per +10 mm Co--Me,28,8123,True,False,False,PRIMARY_ESTIMAND_COMPARISON_CURRENT.csv; primary data hash verified
Primary,DDK timing,log_speechrate,Speech rate,six_sequences_shared_by_rate_conditions,Height conditioned,shared_six_height_adjusted_log_speechrate,-0.065928770657964195,0.028729852285149699,-6.3802453348016153,-11.506248980646347,-0.95731774715825935,0.021745575260579599,% change per +10 mm Co--Me,28,6456,False,False,False,PRIMARY_ESTIMAND_COMPARISON_CURRENT.csv; primary data hash verified
Primary,DDK timing,log_speechrate,Speech rate,six_sequences_shared_by_rate_conditions,No height,shared_six_no_height_log_speechrate,-0.0361360762215195,0.022874254734185001,-3.5490962192548992,-7.777752798467894,0.8734564859746996,0.1141593998270318,% change per +10 mm Co--Me,28,6456,False,False,False,PRIMARY_ESTIMAND_COMPARISON_CURRENT.csv; primary data hash verified
Secondary,Audio,audio_mod_dom_hz,Dominant envelope modulation,outcome-complete cases,Height conditioned,audio_mod_dom_hz_height,-0.212145303561981,0.066783215144475203,-0.212145303561981,-0.3430404052451525,-0.081250201878809505,0.0014899900328075001,Hz per +10 mm Co--Me,23,5572,False,True,True,effect_sizes_per_10mm.csv verified against V4 exact Co--Me values and canonical data
Secondary,Audio,audio_mod_dom_hz,Dominant envelope modulation,outcome-complete cases,No height,audio_mod_dom_hz_base,-0.089215731934613907,0.056440425461270698,-0.089215731934613907,-0.1998389658387045,0.021407501969476599,0.11394522411472981,Hz per +10 mm Co--Me,23,5572,False,False,False,effect_sizes_per_10mm.csv verified against V4 exact Co--Me values and canonical data
Secondary,EMA,ema_cycle_rate_hz,Jaw-cycle rate,outcome-complete cases,Height conditioned,ema_cycle_rate_hz_height,-0.25473205694437617,0.094798411845187003,-0.25473205694437617,-0.4405369441609428,-0.068927169727809504,0.0072077090866202002,Hz per +10 mm Co--Me,22,3323,False,True,True,effect_sizes_per_10mm.csv verified against V4 exact Co--Me values and canonical data
Secondary,EMA,ema_cycle_rate_hz,Jaw-cycle rate,outcome-complete cases,No height,ema_cycle_rate_hz_base,-0.19048828455167591,0.10719723461441941,-0.19048828455167591,-0.400594864395938,0.019618295292586199,0.075570083747163799,Hz per +10 mm Co--Me,22,3323,False,False,False,effect_sizes_per_10mm.csv verified against V4 exact Co--Me values and canonical data
Secondary,EMA,jaw_open_amp_median_mm,Scalar jaw-opening excursion,outcome-complete cases,Height conditioned,jaw_open_amp_median_mm_height,-0.51706417989881637,0.1728559650077065,-0.51706417989881637,-0.85586187131392122,-0.1782664884837114,0.0027779174506374999,mm per +10 mm Co--Me,22,3323,False,True,True,effect_sizes_per_10mm.csv verified against V4 exact Co--Me values and canonical data
Secondary,EMA,jaw_open_amp_median_mm,Scalar jaw-opening excursion,outcome-complete cases,No height,jaw_open_amp_median_mm_base,-0.46764614342254862,0.15610962258371899,-0.46764614342254862,-0.77362100368663778,-0.16167128315845941,0.0027388155288011,mm per +10 mm Co--Me,22,3323,False,False,False,effect_sizes_per_10mm.csv verified against V4 exact Co--Me values and canonical data
