figure,panel,outcome_id,outcome_label,participant_id,rate,co_me_mean_mm,height_cm,n_observations,n_sequences,speaker_mean,outcome_unit,rate_label,sequence_scope,descriptive_summary
Figure 1,A,log_speechrate,Speech rate,sub-055,fast,96.784999999999997,160,120,6,3.5791427791333335,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-055,normal,96.784999999999997,160,119,6,2.7302147178907563,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-105,fast,112.035,173,120,6,4.8505748413333327,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-105,normal,112.035,173,120,6,3.055224218866667,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-125,fast,101,171,119,6,3.5862963391932769,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-125,normal,101,171,120,6,2.6691177059249998,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-159,fast,118.04000000000001,162,120,6,2.7353202945000001,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-159,normal,118.04000000000001,162,120,6,2.0539259359000002,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-182,fast,117.925,175,120,6,3.6349387208249997,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-182,normal,117.925,175,119,6,2.1416675021260505,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-189,fast,118.655,181,120,6,4.080583093475,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-189,normal,118.655,181,120,6,3.1936455247833333,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-191,fast,102.36499999999999,160,120,6,3.7486480084166667,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-191,normal,102.36499999999999,160,120,6,2.6118145881833335,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-246,fast,102,175,120,6,4.4397979371833332,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-246,normal,102,175,120,6,3.2893991529499997,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-306,normal,103.88500000000001,166,118,6,3.6403106370847458,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-401,fast,133.38999999999999,181,59,6,3.1612952518983048,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-401,normal,133.38999999999999,181,119,6,2.4389184379075632,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-471,fast,132.27000000000001,187,120,6,4.2370364834083336,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-471,normal,132.27000000000001,187,120,6,2.9504109392166669,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-586,fast,110.315,177,120,6,5.033492392366667,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-586,normal,110.315,177,120,6,2.7642824468999998,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-612,fast,101.13500000000001,167,120,6,4.4689859905333327,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-612,normal,101.13500000000001,167,120,6,2.7833795931416669,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-613,fast,110.43000000000001,182,120,6,3.0799175310916667,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-613,normal,110.43000000000001,182,120,6,2.0688039559,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-647,fast,106.995,160,120,6,2.9723690525166666,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-647,normal,106.995,160,120,6,1.4541177085916668,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-652,fast,92.739999999999995,160,120,6,3.7435156035000001,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-652,normal,92.739999999999995,160,119,6,2.8841868407983191,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-705,fast,122.31,168,119,6,3.9038335979999998,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-705,normal,122.31,168,119,6,2.6059362379747899,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-726,fast,112.13,184,119,6,4.1916418579075634,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-726,normal,112.13,184,120,6,2.9428170767333333,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-779,fast,100.66,162,120,6,4.9008368213499995,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-779,normal,100.66,162,120,6,2.2304487184499999,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-787,fast,106.675,169,120,6,4.3898574016916667,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-787,normal,106.675,169,120,6,3.4100034992916668,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-807,fast,106.735,170,119,6,5.0659979423025217,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-807,normal,106.735,170,120,6,3.5249153622083331,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-860,fast,106.02500000000001,161,120,6,3.5079411538083334,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-860,normal,106.02500000000001,161,119,6,2.0457218331764708,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-869,fast,114.23999999999999,172,118,6,1.7987696603389831,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-869,normal,114.23999999999999,172,113,6,1.2826506521238936,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-875,fast,121.37,158,120,6,3.9277797313333331,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,A,log_speechrate,Speech rate,sub-875,normal,121.37,158,120,6,2.7854909991083332,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
