figure,panel,outcome_id,outcome_label,participant_id,rate,co_me_mean_mm,height_cm,n_observations,n_sequences,speaker_mean,outcome_unit,rate_label,sequence_scope,descriptive_summary
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-055,fast,96.784999999999997,160,66,6,3.3218636865958353,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-055,normal,96.784999999999997,160,69,9,2.500251763972611,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-105,normal,112.035,173,23,9,2.5766998173636577,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-125,fast,101,171,73,6,3.4612803360232052,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-125,normal,101,171,50,9,3.1386760169525605,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-159,fast,118.04000000000001,162,67,6,2.8649058287149289,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-159,normal,118.04000000000001,162,104,9,2.3756096149233046,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-191,fast,102.36499999999999,160,102,6,3.7402317284779825,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-191,normal,102.36499999999999,160,96,9,2.4653653047558577,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-246,fast,102,175,85,6,3.3940199718016908,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-246,normal,102,175,79,9,3.3447814540080816,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-401,fast,133.38999999999999,181,48,6,3.5703450103343877,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-401,normal,133.38999999999999,181,76,9,2.8486208173941652,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-471,fast,132.27000000000001,187,80,6,2.5055195517934341,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-471,normal,132.27000000000001,187,46,9,1.5763329026112027,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-586,fast,110.315,177,100,6,3.8136753294821433,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-586,normal,110.315,177,130,9,2.9051324861418588,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-612,fast,101.13500000000001,167,91,6,3.5329405808588388,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-612,normal,101.13500000000001,167,106,9,2.7230318980977448,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-647,fast,106.995,160,113,6,2.924513692888453,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-647,normal,106.995,160,62,9,1.5870441307356782,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-652,normal,92.739999999999995,160,51,9,2.2878449663324831,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,A,ema_cycle_rate_hz,Jaw-cycle rate,sub-705,fast,122.31,168,96,6,3.4640570800131241,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
