tier,domain,outcome_id,outcome_label,data_subset,specification,model_id,beta,robust_se,effect,ci_lower,ci_upper,p_value,effect_unit,n_speakers,n_observations,used_in_figure_1c,used_in_figure_2,used_in_table_1,authority
Primary,DDK timing,log_articulationrate,Articulation rate,all_eligible_trials,Height conditioned,full_height_adjusted_log_articulationrate,-0.047612290568298202,0.0192195791780914,-4.6496602317442797,-8.1746675261425317,-0.98933432655746723,0.0132387776267747,% change per +10 mm Co--Me,28,8123,True,False,True,comparison.csv; primary data hash verified
Primary,DDK timing,log_articulationrate,Articulation rate,all_eligible_trials,No height,full_no_height_log_articulationrate,-0.015862963852637101,0.014055425726054499,-1.5737809687420778,-4.248231877172759,1.1753702590856283,0.25906629908132661,% change per +10 mm Co--Me,28,8123,True,False,False,comparison.csv; primary data hash verified
Primary,DDK timing,log_articulationrate,Articulation rate,six_sequences_shared_by_rate_conditions,Height conditioned,shared_six_height_adjusted_log_articulationrate,-0.048257392070608703,0.0197840022915018,-4.7111510431347199,-8.3353451234750349,-0.94366527910598741,0.0147192967092059,% change per +10 mm Co--Me,28,6456,False,False,False,comparison.csv; primary data hash verified
Primary,DDK timing,log_articulationrate,Articulation rate,six_sequences_shared_by_rate_conditions,No height,shared_six_no_height_log_articulationrate,-0.017261822949931501,0.013966142913709701,-1.7113691249881049,-4.3653477203999369,1.0162606231911342,0.21646733857455699,% change per +10 mm Co--Me,28,6456,False,False,False,comparison.csv; primary data hash verified
Primary,DDK timing,log_speechrate,Speech rate,all_eligible_trials,Height conditioned,full_height_adjusted_log_speechrate,-0.066752447970185202,0.0273380595905829,-6.4573260535175088,-11.337579859612267,-1.3084479850330013,0.0146166479846454,% change per +10 mm Co--Me,28,8123,True,False,True,comparison.csv; primary data hash verified
Primary,DDK timing,log_speechrate,Speech rate,all_eligible_trials,No height,full_no_height_log_speechrate,-0.034844980857967597,0.021082833347374201,-3.4244884816463705,-7.3338164910064734,0.64976318061549243,0.098378585867358995,% change per +10 mm Co--Me,28,8123,True,False,False,comparison.csv; primary data hash verified
Primary,DDK timing,log_speechrate,Speech rate,six_sequences_shared_by_rate_conditions,Height conditioned,shared_six_height_adjusted_log_speechrate,-0.065928770657964195,0.028729852285151,-6.3802453348016153,-11.506248980646561,-0.957317747158004,0.0217455752605854,% change per +10 mm Co--Me,28,6456,False,False,False,comparison.csv; primary data hash verified
Primary,DDK timing,log_speechrate,Speech rate,six_sequences_shared_by_rate_conditions,No height,shared_six_no_height_log_speechrate,-0.0361360762215195,0.022874254734185698,-3.5490962192548992,-7.777752798468029,0.87345648597483283,0.1141593998270425,% change per +10 mm Co--Me,28,6456,False,False,False,comparison.csv; primary data hash verified
Secondary,Audio,audio_mod_dom_hz,Dominant envelope modulation,outcome-complete cases,Height conditioned,audio_mod_dom_hz_height,-0.212145303561981,0.066783215144475203,-0.212145303561981,-0.3430404052451525,-0.081250201878809505,0.0014899900328075001,Hz per +10 mm Co--Me,23,5572,False,True,True,effect_sizes_per_10mm.csv verified against V4 exact Co--Me values and canonical data
Secondary,Audio,audio_mod_dom_hz,Dominant envelope modulation,outcome-complete cases,No height,audio_mod_dom_hz_base,-0.089215731934613907,0.056440425461270601,-0.089215731934613907,-0.1998389658387045,0.021407501969476501,0.11394522411472981,Hz per +10 mm Co--Me,23,5572,False,False,False,effect_sizes_per_10mm.csv verified against V4 exact Co--Me values and canonical data
Secondary,EMA,ema_cycle_rate_hz,Jaw-cycle rate,outcome-complete cases,Height conditioned,ema_cycle_rate_hz_height,-0.25473205694437612,0.094798411845187003,-0.25473205694437612,-0.4405369441609428,-0.068927169727809504,0.0072077090866202002,Hz per +10 mm Co--Me,22,3323,False,True,True,effect_sizes_per_10mm.csv verified against V4 exact Co--Me values and canonical data
Secondary,EMA,ema_cycle_rate_hz,Jaw-cycle rate,outcome-complete cases,No height,ema_cycle_rate_hz_base,-0.19048828455167591,0.10719723461441941,-0.19048828455167591,-0.400594864395938,0.019618295292586099,0.075570083747163702,Hz per +10 mm Co--Me,22,3323,False,False,False,effect_sizes_per_10mm.csv verified against V4 exact Co--Me values and canonical data
Secondary,EMA,jaw_open_amp_median_mm,Scalar jaw-opening excursion,outcome-complete cases,Height conditioned,jaw_open_amp_median_mm_height,-0.51706417989881626,0.1728559650077065,-0.51706417989881626,-0.85586187131392122,-0.1782664884837114,0.0027779174506374002,mm per +10 mm Co--Me,22,3323,False,True,True,effect_sizes_per_10mm.csv verified against V4 exact Co--Me values and canonical data
Secondary,EMA,jaw_open_amp_median_mm,Scalar jaw-opening excursion,outcome-complete cases,No height,jaw_open_amp_median_mm_base,-0.46764614342254862,0.15610962258371891,-0.46764614342254862,-0.77362100368663766,-0.16167128315845941,0.0027388155288011,mm per +10 mm Co--Me,22,3323,False,False,False,effect_sizes_per_10mm.csv verified against V4 exact Co--Me values and canonical data
