outcome,outcome_label,method,n_obs,n_speakers,beta_log_per_10mm,se_log,df,statistic,p,ci_low_log,ci_high_log,effect_pct_per_10mm,effect_pct_ci_low,effect_pct_ci_high,n_boot,seed,note
log_articulationrate,Articulation rate,manuscript_GEE_independence_CR0_z,8123,28,-0.04761229056840868,0.019219579178110714,,-2.4772805963740656,0.013238777626653623,-0.08528266575750568,-0.009941915379311682,-4.649660231754815,-8.174731087811459,-0.9892657911617198,,,Gaussian identity-link GEE with independence working correlation; equivalent to OLS coefficient with CR0 participant-cluster sandwich SE; normal-theory Wald CI/p.
log_articulationrate,Articulation rate,CR0_cluster_t_df_Gminus1,8123,28,-0.04761229056840868,0.019219579178110714,27.0,-2.4772805963740656,0.019791334756720572,-0.08704760963996531,-0.00817697149685205,-4.649660231754815,-8.336654599444593,-0.814363100206994,,,"Same CR0 SE as manuscript row, but p/CI use t distribution with speakers-1 df."
log_articulationrate,Articulation rate,CR2_BellMcCaffrey_Satterthwaite,8123,28,-0.04761229056840868,0.021140191010968964,10.637225957862375,-2.2522166684162976,0.04648958244885411,-0.09433587633819424,-0.00088870479862313,-4.649660231754815,-9.002292886005826,-0.08883100174702507,,,Python implementation of an OLS CR2/Bell-McCaffrey leverage adjustment with Satterthwaite df; conceptually closest to an R clubSandwich CR2 check.
log_articulationrate,Articulation rate,speaker_cluster_bootstrap_percentile,8123,28,-0.04761229056840868,0.023959645162328794,,,0.0076,-0.1069973118015641,-0.013240295563791088,-4.649660231754815,-10.147191159113921,-1.3153028422643542,9999.0,20261420.0,Nonparametric speaker-cluster bootstrap; speakers resampled with replacement; percentile CI.
log_articulationrate,Articulation rate,wild_cluster_bootstrap_t_CR2_null,8123,28,-0.04761229056840868,0.021140191010968964,10.637225957862375,-2.2522166684162976,0.0179,,,-4.649660231754815,,,9999.0,20761420.0,Restricted-null Rademacher wild-cluster bootstrap-t p value; test statistic is the CR2 t statistic. CI not computed by test inversion.
log_speechrate,Speech rate,manuscript_GEE_independence_CR0_z,8123,28,-0.0667524479702964,0.02733805959060545,,-2.4417405247457817,0.014616647984562308,-0.12033504476788309,-0.013169851172709725,-6.457326053527912,-11.337667155962706,-1.3083508140012023,,,Gaussian identity-link GEE with independence working correlation; equivalent to OLS coefficient with CR0 participant-cluster sandwich SE; normal-theory Wald CI/p.
log_speechrate,Speech rate,CR0_cluster_t_df_Gminus1,8123,28,-0.0667524479702964,0.02733805959060545,27.0,-2.4417405247457817,0.02144926330133928,-0.12284551289965719,-0.010659383040935624,-6.457326053527912,-11.55997195574331,-1.0602773138284949,,,"Same CR0 SE as manuscript row, but p/CI use t distribution with speakers-1 df."
log_speechrate,Speech rate,CR2_BellMcCaffrey_Satterthwaite,8123,28,-0.0667524479702964,0.030077847671178697,10.041518062548446,-2.2193226290676433,0.05064642022882532,-0.13373252829524346,0.00022763235465066145,-6.457326053527912,-12.517597601376075,0.022765826486104146,,,Python implementation of an OLS CR2/Bell-McCaffrey leverage adjustment with Satterthwaite df; conceptually closest to an R clubSandwich CR2 check.
log_speechrate,Speech rate,speaker_cluster_bootstrap_percentile,8123,28,-0.0667524479702964,0.034284269452586495,,,0.0102,-0.15096223454887872,-0.017474986686802228,-6.457326053527912,-14.011982819138137,-1.7323184639383093,9999.0,20260420.0,Nonparametric speaker-cluster bootstrap; speakers resampled with replacement; percentile CI.
log_speechrate,Speech rate,wild_cluster_bootstrap_t_CR2_null,8123,28,-0.0667524479702964,0.030077847671178697,10.041518062548446,-2.2193226290676433,0.0223,,,-6.457326053527912,,,9999.0,20760420.0,Restricted-null Rademacher wild-cluster bootstrap-t p value; test statistic is the CR2 t statistic. CI not computed by test inversion.
