outcome,method,effect_percent_per_10mm,ci_lower_percent,ci_upper_percent,p_value,df,n_observations,n_speakers,n_bootstrap_draws,seed
Speech rate,"GEE/CR0 cluster sandwich, normal reference",-6.457326053527912,-11.337667155962706,-1.3083508140012023,0.0146166479845623,,8123,28,,
Speech rate,"CR0 cluster sandwich, t_(G-1) reference",-6.457326053527912,-11.559971955743309,-1.0602773138284949,0.0214492633013392,27,8123,28,,
Speech rate,"CR2/Bell-McCaffrey, Satterthwaite df",-6.457326053527912,-12.517597601376076,0.022765826486104101,0.050646420228825297,10.041518062548446,8123,28,,
Speech rate,Speaker-cluster bootstrap percentile,-6.457326053527912,-14.011982819138137,-1.7323184639383091,0.010200000000000001,,8123,28,9999,20260420
Speech rate,Wild-cluster bootstrap-t with CR2 statistic,-6.457326053527912,,,0.0223,10.041518062548446,8123,28,9999,20760420
Articulation rate,"GEE/CR0 cluster sandwich, normal reference",-4.6496602317548152,-8.174731087811459,-0.98926579116171975,0.013238777626653601,,8123,28,,
Articulation rate,"CR0 cluster sandwich, t_(G-1) reference",-4.6496602317548152,-8.3366545994445929,-0.81436310020699398,0.019791334756720499,27,8123,28,,
Articulation rate,"CR2/Bell-McCaffrey, Satterthwaite df",-4.6496602317548152,-9.0022928860058258,-0.088831001747025004,0.046489582448854101,10.637225957862375,8123,28,,
Articulation rate,Speaker-cluster bootstrap percentile,-4.6496602317548152,-10.14719115911392,-1.3153028422643542,0.0076,,8123,28,9999,20261420
Articulation rate,Wild-cluster bootstrap-t with CR2 statistic,-4.6496602317548152,,,0.017899999999999999,10.637225957862375,8123,28,9999,20761420
