analysis,outcome_condition,metric,effect,ci_lower,ci_upper,p_value,n_speakers,n_observations,unit
Interaction,Speech rate,Co–Me × rate beta,0.025231703073558001,-0.038169436249372399,0.088632842396488595,0.43538771288655598,28,8123,log-rate coefficient
Interaction,Articulation rate,Co–Me × rate beta,0.027628969668613602,-0.030839174567990801,0.086097113905218098,0.35435458041473372,28,8123,log-rate coefficient
Upper tail,Habitual,Max articulation rate,0.0511699967987891,-0.30505999980633619,0.40739999340391458,0.76979677034294003,28,28,syllables/s per 10 mm
Upper tail,Habitual,95th pct articulation rate,-0.050368429007448798,-0.3444068927527883,0.24367003473789059,0.72719826067263627,28,28,syllables/s per 10 mm
Upper tail,Habitual,Max speech rate,-0.045570805105410499,-0.4096825193141943,0.31854090910337329,0.79869917571412374,28,28,syllables/s per 10 mm
Upper tail,Habitual,95th pct speech rate,-0.094035884709107995,-0.36868414262033611,0.1806123732021199,0.48723025886253318,28,28,syllables/s per 10 mm
Upper tail,Maximally fast,Max articulation rate,-0.2422621399446781,-0.52393934911365192,0.0394150692242956,0.088567210034674798,27,27,syllables/s per 10 mm
Upper tail,Maximally fast,95th pct articulation rate,-0.23586424255809871,-0.52362659187413985,0.051898106757942201,0.1036543341848743,27,27,syllables/s per 10 mm
Upper tail,Maximally fast,Max speech rate,-0.1819443273896002,-0.54325072583649914,0.17936207105729859,0.30901179379472832,27,27,syllables/s per 10 mm
Upper tail,Maximally fast,95th pct speech rate,-0.22526005723610801,-0.53518637709345973,0.084666262621243604,0.1466353434235671,27,27,syllables/s per 10 mm
